0,1,2,3,4,5,6,7,8,9,10
tropical fruit,soda,margarine,napkins,,,,,,,
canned beer,coffee,,,,,,,,,
chewing gum,other vegetables,,,,,,,,,
shopping bags,soda,,,,,,,,,
coffee,UHT-milk,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
soda,shopping bags,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
sausage,other vegetables,,,,,,,,,
bottled beer,sausage,candy,yogurt,,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
onions,soda,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
pastry,brown bread,,,,,,,,,
soda,bottled water,,,,,,,,,
packaged fruit/vegetables,long life bakery product,,,,,,,,,
bottled water,shopping bags,brown bread,,,,,,,,
chocolate marshmallow,yogurt,,,,,,,,,
whipped/sour cream,yogurt,hygiene articles,,,,,,,,
pork,detergent,bottled beer,,,,,,,,
beverages,canned beer,,,,,,,,,
bottled beer,oil,whole milk,dishes,,,,,,,
pip fruit,other vegetables,,,,,,,,,
beef,other vegetables,,,,,,,,,
whipped/sour cream,candy,,,,,,,,,
meat,chocolate,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
sausage,hard cheese,bottled beer,,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
other vegetables,waffles,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
whole milk,brown bread,,,,,,,,,
semi-finished bread,bottled water,,,,,,,,,
pip fruit,rum,,,,,,,,,
canned beer,whole milk,frankfurter,frankfurter,dishes,rolls/buns,pip fruit,canned vegetables,,,
whole milk,brown bread,soda,,,,,,,,
frozen vegetables,butter,,,,,,,,,
meat spreads,butter,,,,,,,,,
butter,soft cheese,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
hygiene articles,other vegetables,,,,,,,,,
grapes,bottled water,napkins,,,,,,,,
sausage,citrus fruit,,,,,,,,,
sausage,citrus fruit,,,,,,,,,
curd,misc. beverages,,,,,,,,,
liquor,brown bread,whole milk,,,,,,,,
tropical fruit,soda,,,,,,,,,
canned beer,hamburger meat,,,,,,,,,
rolls/buns,margarine,,,,,,,,,
onions,coffee,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
rolls/buns,soda,,,,,,,,,
berries,whipped/sour cream,bottled water,,,,,,,,
cereals,soda,,,,,,,,,
other vegetables,hard cheese,chocolate,,,,,,,,
newspapers,cream,,,,,,,,,
pasta,hygiene articles,,,,,,,,,
sausage,bottled water,,,,,,,,,
other vegetables,white bread,whole milk,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
root vegetables,pastry,,,,,,,,,
citrus fruit,hamburger meat,other vegetables,specialty chocolate,,,,,,,
bottled water,long life bakery product,root vegetables,mustard,,,,,,,
whipped/sour cream,flour,,,,,,,,,
butter,citrus fruit,margarine,soda,whole milk,roll products ,,,,,
rolls/buns,tropical fruit,coffee,chocolate,,,,,,,
Instant food products,whipped/sour cream,butter,cake bar,,,,,,,
fruit/vegetable juice,cat food,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
sausage,margarine,margarine,,,,,,,,
pip fruit,ice cream,popcorn,soda,bottled water,rolls/buns,,,,,
salt,ice cream,yogurt,canned beer,,,,,,,
pork,condensed milk,bottled beer,other vegetables,candy,,,,,,
other vegetables,frankfurter,other vegetables,newspapers,spread cheese,,,,,,
chicken,pip fruit,,,,,,,,,
pork,other vegetables,,,,,,,,,
canned beer,onions,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
frankfurter,whole milk,grapes,butter,semi-finished bread,,,,,,
other vegetables,pork,herbs,oil,,,,,,,
other vegetables,frozen fish,,,,,,,,,
soda,yogurt,,,,,,,,,
other vegetables,semi-finished bread,,,,,,,,,
other vegetables,misc. beverages,,,,,,,,,
pasta,whole milk,waffles,,,,,,,,
dishes,dessert,,,,,,,,,
rolls/buns,chicken,,,,,,,,,
dessert,whole milk,whole milk,domestic eggs,,,,,,,
canned beer,napkins,,,,,,,,,
root vegetables,root vegetables,processed cheese,frozen fish,,,,,,,
domestic eggs,whole milk,rice,,,,,,,,
pork,other vegetables,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
seasonal products,shopping bags,,,,,,,,,
specialty chocolate,shopping bags,,,,,,,,,
packaged fruit/vegetables,margarine,napkins,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
newspapers,salty snack,,,,,,,,,
meat,butter,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
bottled water,cream cheese ,bottled beer,,,,,,,,
chicken,tropical fruit,citrus fruit,yogurt,,,,,,,
canned fish,white bread,,,,,,,,,
citrus fruit,Instant food products,,,,,,,,,
berries,soda,flower (seeds),,,,,,,,
citrus fruit,frozen vegetables,margarine,,,,,,,,
meat,root vegetables,sliced cheese,,,,,,,,
ham,pastry,whole milk,specialty bar,tropical fruit,hard cheese,yogurt,candy,,,
shopping bags,whole milk,,,,,,,,,
whole milk,pastry,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
whipped/sour cream,coffee,,,,,,,,,
meat,whole milk,brown bread,shopping bags,waffles,,,,,,
sausage,curd,meat spreads,,,,,,,,
tropical fruit,cake bar,soda,cat food,,,,,,,
hamburger meat,cat food,margarine,,,,,,,,
pot plants,soda,hygiene articles,,,,,,,,
other vegetables,bottled beer,white bread,fruit/vegetable juice,,,,,,,
pork,soda,,,,,,,,,
yogurt,pastry,,,,,,,,,
root vegetables,shopping bags,frozen vegetables,,,,,,,,
condensed milk,onions,,,,,,,,,
grapes,whipped/sour cream,,,,,,,,,
tropical fruit,candy,,,,,,,,,
hamburger meat,rolls/buns,beverages,dessert,whole milk,domestic eggs,yogurt,soda,,,
frankfurter,whole milk,red/blush wine,rolls/buns,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
liquor (appetizer),rolls/buns,yogurt,,,,,,,,
yogurt,brown bread,,,,,,,,,
grapes,whipped/sour cream,dishes,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
margarine,long life bakery product,,,,,,,,,
turkey,bottled water,other vegetables,newspapers,,,,,,,
yogurt,canned beer,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
bottled beer,fruit/vegetable juice,fruit/vegetable juice,,,,,,,,
frankfurter,whole milk,,,,,,,,,
citrus fruit,tropical fruit,soda,bottled water,,,,,,,
citrus fruit,UHT-milk,,,,,,,,,
yogurt,other vegetables,rolls/buns,herbs,,,,,,,
processed cheese,rolls/buns,oil,flour,,,,,,,
brown bread,yogurt,,,,,,,,,
pip fruit,berries,,,,,,,,,
bottled water,soda,,,,,,,,,
white bread,flour,,,,,,,,,
root vegetables,sliced cheese,,,,,,,,,
frozen vegetables,whole milk,,,,,,,,,
whole milk,mustard,,,,,,,,,
butter,chewing gum,,,,,,,,,
bottled water,dessert,,,,,,,,,
hard cheese,sugar,bottled water,,,,,,,,
prosecco,rolls/buns,specialty chocolate,white bread,,,,,,,
misc. beverages,pork,domestic eggs,sparkling wine,whipped/sour cream,semi-finished bread,,,,,
pastry,onions,,,,,,,,,
misc. beverages,yogurt,misc. beverages,,,,,,,,
root vegetables,liver loaf,white bread,domestic eggs,cream cheese ,,,,,,
coffee,domestic eggs,,,,,,,,,
grapes,other vegetables,,,,,,,,,
tropical fruit,chicken,,,,,,,,,
chicken,liquor,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
salt,margarine,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
pastry,dishes,waffles,,,,,,,,
sausage,chocolate,newspapers,pastry,,,,,,,
butter milk,fruit/vegetable juice,,,,,,,,,
fruit/vegetable juice,soft cheese,,,,,,,,,
white bread,brown bread,,,,,,,,,
tropical fruit,whole milk,liquor,,,,,,,,
soda,yogurt,white bread,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
bottled beer,rolls/buns,soda,,,,,,,,
whole milk,curd,yogurt,candy,,,,,,,
other vegetables,chewing gum,newspapers,,,,,,,,
dessert,curd,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
ham,root vegetables,rolls/buns,processed cheese,whole milk,pastry,soups,,,,
brown bread,detergent,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
tropical fruit,oil,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
rolls/buns,long life bakery product,root vegetables,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
margarine,coffee,sliced cheese,,,,,,,,
brown bread,whole milk,,,,,,,,,
liquor,other vegetables,whole milk,other vegetables,,,,,,,
rolls/buns,white bread,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
misc. beverages,whipped/sour cream,,,,,,,,,
tropical fruit,soft cheese,,,,,,,,,
sliced cheese,bottled water,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
frozen fish,whipped/sour cream,,,,,,,,,
other vegetables,bottled water,whipped/sour cream,,,,,,,,
soda,chewing gum,,,,,,,,,
male cosmetics,pastry,,,,,,,,,
rolls/buns,chewing gum,,,,,,,,,
pip fruit,pastry,,,,,,,,,
brown bread,whole milk,spread cheese,butter,fruit/vegetable juice,,,,,,
canned beer,whole milk,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
chicken,butter milk,,,,,,,,,
soda,yogurt,,,,,,,,,
domestic eggs,candy,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
root vegetables,flower (seeds),,,,,,,,,
misc. beverages,curd,,,,,,,,,
sugar,popcorn,baking powder,,,,,,,,
dog food,bottled beer,,,,,,,,,
rolls/buns,grapes,,,,,,,,,
soda,fruit/vegetable juice,bottled beer,,,,,,,,
red/blush wine,dog food,,,,,,,,,
onions,canned fish,,,,,,,,,
coffee,baking powder,,,,,,,,,
onions,bottled water,,,,,,,,,
whipped/sour cream,pastry,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
canned beer,onions,,,,,,,,,
red/blush wine,instant coffee,,,,,,,,,
bottled beer,fruit/vegetable juice,rolls/buns,,,,,,,,
curd,red/blush wine,,,,,,,,,
bottled water,beverages,pastry,,,,,,,,
specialty cheese,bottled water,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
yogurt,whole milk,,,,,,,,,
specialty chocolate,bottled water,,,,,,,,,
UHT-milk,soda,,,,,,,,,
soda,yogurt,,,,,,,,,
tropical fruit,pickled vegetables,,,,,,,,,
whipped/sour cream,toilet cleaner,,,,,,,,,
berries,rolls/buns,,,,,,,,,
soda,hygiene articles,,,,,,,,,
tropical fruit,pork,soda,onions,,,,,,,
whole milk,pasta,rolls/buns,,,,,,,,
sausage,yogurt,,,,,,,,,
canned beer,napkins,specialty bar,,,,,,,,
canned beer,flour,newspapers,,,,,,,,
candy,cake bar,,,,,,,,,
butter,shopping bags,,,,,,,,,
softener,yogurt,cling film/bags,,,,,,,,
coffee,root vegetables,,,,,,,,,
dessert,shopping bags,flour,,,,,,,,
beef,bottled water,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
meat,root vegetables,margarine,,,,,,,,
cat food,other vegetables,,,,,,,,,
domestic eggs,coffee,pastry,,,,,,,,
frankfurter,rolls/buns,shopping bags,margarine,,,,,,,
pet care,brown bread,pastry,dish cleaner,,,,,,,
butter milk,mayonnaise,,,,,,,,,
pip fruit,nuts/prunes,bottled beer,,,,,,,,
chicken,whole milk,,,,,,,,,
canned beer,soda,other vegetables,canned vegetables,,,,,,,
photo/film,liquor (appetizer),,,,,,,,,
packaged fruit/vegetables,rolls/buns,root vegetables,napkins,soft cheese,,,,,,
pork,pastry,,,,,,,,,
whole milk,coffee,,,,,,,,,
chicken,whole milk,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
pork,chewing gum,canned fish,,,,,,,,
coffee,brown bread,whole milk,sweet spreads,,,,,,,
butter milk,napkins,,,,,,,,,
misc. beverages,bottled water,other vegetables,coffee,,,,,,,
meat,root vegetables,,,,,,,,,
tropical fruit,bottled water,cream cheese ,,,,,,,,
citrus fruit,curd,specialty chocolate,canned beer,,,,,,,
pip fruit,pickled vegetables,,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
whipped/sour cream,sausage,root vegetables,soda,,,,,,,
root vegetables,dog food,,,,,,,,,
rolls/buns,frozen vegetables,hamburger meat,pork,,,,,,,
root vegetables,domestic eggs,chocolate,,,,,,,,
citrus fruit,waffles,,,,,,,,,
butter milk,frozen vegetables,,,,,,,,,
finished products,whole milk,,,,,,,,,
pork,frozen dessert,,,,,,,,,
white bread,mayonnaise,,,,,,,,,
shopping bags,baking powder,,,,,,,,,
coffee,soda,,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
root vegetables,white wine,,,,,,,,,
dessert,processed cheese,UHT-milk,,,,,,,,
citrus fruit,soda,,,,,,,,,
popcorn,cat food,,,,,,,,,
pip fruit,coffee,,,,,,,,,
brown bread,whole milk,canned fish,brown bread,,,,,,,
whole milk,margarine,,,,,,,,,
sausage,whole milk,,,,,,,,,
sausage,specialty cheese,,,,,,,,,
yogurt,pastry,,,,,,,,,
margarine,soda,,,,,,,,,
whole milk,margarine,,,,,,,,,
tropical fruit,meat,pip fruit,salt,pot plants,,,,,,
whole milk,pickled vegetables,,,,,,,,,
soda,detergent,,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
bottled water,pastry,fruit/vegetable juice,,,,,,,,
hamburger meat,brown bread,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
beef,ice cream,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
frozen vegetables,coffee,,,,,,,,,
canned fish,coffee,,,,,,,,,
berries,napkins,,,,,,,,,
whole milk,whole milk,whole milk,domestic eggs,,,,,,,
turkey,UHT-milk,,,,,,,,,
ham,bottled water,,,,,,,,,
white wine,newspapers,dog food,,,,,,,,
grapes,meat spreads,domestic eggs,,,,,,,,
whole milk,shopping bags,,,,,,,,,
herbs,pork,sugar,hard cheese,long life bakery product,,,,,,
whole milk,citrus fruit,,,,,,,,,
butter,butter,,,,,,,,,
soda,beef,beef,rolls/buns,shopping bags,chocolate,processed cheese,brown bread,dessert,,
whole milk,other vegetables,white bread,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
beef,tropical fruit,,,,,,,,,
whole milk,hair spray,butter,pastry,,,,,,,
root vegetables,canned beer,,,,,,,,,
sugar,curd,,,,,,,,,
pot plants,tropical fruit,pip fruit,whole milk,semi-finished bread,,,,,,
soda,beverages,,,,,,,,,
whole milk,beef,canned beer,,,,,,,,
grapes,whole milk,,,,,,,,,
sweet spreads,soda,,,,,,,,,
frankfurter,berries,,,,,,,,,
whole milk,sauces,hard cheese,,,,,,,,
soda,frozen fish,rolls/buns,,,,,,,,
citrus fruit,napkins,,,,,,,,,
pork,bottled water,bottled water,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
onions,newspapers,,,,,,,,,
ham,pickled vegetables,,,,,,,,,
soda,canned beer,citrus fruit,frozen meals,,,,,,,
yogurt,soft cheese,herbs,rolls/buns,,,,,,,
rolls/buns,candy,white bread,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
dessert,canned beer,specialty chocolate,,,,,,,,
hamburger meat,bottled beer,,,,,,,,,
jam,brown bread,yogurt,,,,,,,,
whipped/sour cream,coffee,,,,,,,,,
misc. beverages,artif. sweetener,newspapers,fruit/vegetable juice,,,,,,,
root vegetables,pip fruit,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
citrus fruit,butter milk,,,,,,,,,
mustard,fruit/vegetable juice,,,,,,,,,
soda,brown bread,,,,,,,,,
domestic eggs,bottled water,kitchen towels,,,,,,,,
frankfurter,dessert,,,,,,,,,
tropical fruit,white bread,,,,,,,,,
other vegetables,whole milk,artif. sweetener,,,,,,,,
sausage,yogurt,,,,,,,,,
whipped/sour cream,baking powder,,,,,,,,,
root vegetables,UHT-milk,,,,,,,,,
sausage,whole milk,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
pork,fruit/vegetable juice,,,,,,,,,
newspapers,white bread,rolls/buns,beverages,,,,,,,
fruit/vegetable juice,roll products ,,,,,,,,,
curd,sausage,,,,,,,,,
yogurt,napkins,,,,,,,,,
pork,whole milk,,,,,,,,,
newspapers,flour,frozen fish,cream cheese ,,,,,,,
pork,whole milk,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
cat food,tropical fruit,onions,tidbits,,,,,,,
pasta,soda,,,,,,,,,
coffee,whole milk,,,,,,,,,
sugar,fruit/vegetable juice,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
coffee,bottled water,roll products ,,,,,,,,
whole milk,sausage,bottled beer,yogurt,,,,,,,
other vegetables,soda,,,,,,,,,
chicken,brown bread,,,,,,,,,
whole milk,butter,,,,,,,,,
frozen vegetables,bottled water,,,,,,,,,
white bread,cleaner,,,,,,,,,
sausage,rolls/buns,pickled vegetables,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
whole milk,white bread,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
pork,whole milk,flower (seeds),,,,,,,,
ham,berries,,,,,,,,,
other vegetables,butter milk,chewing gum,specialty chocolate,,,,,,,
other vegetables,whole milk,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
long life bakery product,chocolate,,,,,,,,,
white bread,citrus fruit,sugar,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
frozen vegetables,butter,,,,,,,,,
packaged fruit/vegetables,yogurt,,,,,,,,,
pip fruit,chocolate,,,,,,,,,
whole milk,salt,,,,,,,,,
pork,grapes,,,,,,,,,
beverages,prosecco,,,,,,,,,
bottled beer,bottled beer,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
canned beer,brown bread,,,,,,,,,
berries,root vegetables,,,,,,,,,
soda,UHT-milk,newspapers,white bread,,,,,,,
soda,other vegetables,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
sausage,yogurt,,,,,,,,,
sauces,herbs,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
liver loaf,grapes,soda,photo/film,,,,,,,
other vegetables,beverages,ice cream,shopping bags,,,,,,,
specialty chocolate,soda,chocolate,,,,,,,,
white bread,frozen vegetables,soda,,,,,,,,
other vegetables,pudding powder,,,,,,,,,
other vegetables,rolls/buns,waffles,,,,,,,,
citrus fruit,dish cleaner,margarine,,,,,,,,
soda,rolls/buns,,,,,,,,,
whole milk,soda,,,,,,,,,
frozen vegetables,newspapers,,,,,,,,,
pork,brown bread,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
soups,specialty bar,soda,whipped/sour cream,,,,,,,
specialty chocolate,root vegetables,popcorn,soups,,,,,,,
margarine,butter,,,,,,,,,
whole milk,frozen dessert,,,,,,,,,
berries,curd,,,,,,,,,
pip fruit,tropical fruit,frozen potato products,sweet spreads,chocolate,napkins,candles,seasonal products,,,
yogurt,salty snack,,,,,,,,,
yogurt,cream cheese ,fruit/vegetable juice,,,,,,,,
frankfurter,coffee,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
yogurt,margarine,newspapers,,,,,,,,
yogurt,chicken,liquor,chewing gum,soda,,,,,,
ham,white bread,,,,,,,,,
soda,soda,,,,,,,,,
other vegetables,soda,,,,,,,,,
chicken,frozen dessert,,,,,,,,,
fruit/vegetable juice,candy,fruit/vegetable juice,,,,,,,,
berries,other vegetables,,,,,,,,,
sausage,shopping bags,soda,butter,dessert,soda,,,,,
pot plants,herbs,,,,,,,,,
other vegetables,cake bar,,,,,,,,,
ham,ice cream,,,,,,,,,
frankfurter,citrus fruit,specialty chocolate,,,,,,,,
whole milk,other vegetables,,,,,,,,,
tropical fruit,detergent,rolls/buns,coffee,,,,,,,
fruit/vegetable juice,meat,whole milk,root vegetables,frozen meals,,,,,,
frozen fish,sausage,chocolate,rolls/buns,,,,,,,
sausage,pastry,shopping bags,,,,,,,,
red/blush wine,sausage,soda,whole milk,rolls/buns,,,,,,
tropical fruit,salt,,,,,,,,,
waffles,shopping bags,sparkling wine,,,,,,,,
butter,rolls/buns,,,,,,,,,
chocolate,other vegetables,,,,,,,,,
frankfurter,newspapers,,,,,,,,,
white bread,newspapers,,,,,,,,,
whipped/sour cream,instant coffee,,,,,,,,,
other vegetables,rolls/buns,onions,whole milk,,,,,,,
canned beer,salty snack,,,,,,,,,
newspapers,cream cheese ,long life bakery product,,,,,,,,
citrus fruit,beef,,,,,,,,,
frankfurter,specialty cheese,soft cheese,,,,,,,,
domestic eggs,cream cheese ,,,,,,,,,
oil,bottled beer,,,,,,,,,
pork,mayonnaise,,,,,,,,,
root vegetables,red/blush wine,,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
onions,pastry,shopping bags,,,,,,,,
rolls/buns,yogurt,newspapers,margarine,,,,,,,
cream cheese ,citrus fruit,sauces,red/blush wine,,,,,,,
white bread,bottled water,ready soups,curd,,,,,,,
whipped/sour cream,rolls/buns,soda,,,,,,,,
root vegetables,butter,,,,,,,,,
chicken,chicken,salt,,,,,,,,
sliced cheese,dessert,cream cheese ,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
sausage,pastry,whole milk,,,,,,,,
misc. beverages,dishes,,,,,,,,,
rolls/buns,yogurt,napkins,,,,,,,,
soda,semi-finished bread,,,,,,,,,
tidbits,other vegetables,,,,,,,,,
frozen vegetables,tropical fruit,,,,,,,,,
other vegetables,yogurt,Instant food products,,,,,,,,
onions,rolls/buns,,,,,,,,,
whole milk,pickled vegetables,,,,,,,,,
rolls/buns,dessert,frozen meals,grapes,other vegetables,napkins,other vegetables,,,,
canned beer,organic sausage,tropical fruit,shopping bags,,,,,,,
tropical fruit,soda,rolls/buns,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
curd cheese,red/blush wine,margarine,,,,,,,,
root vegetables,cream cheese ,,,,,,,,,
frankfurter,beverages,beef,whole milk,other vegetables,rolls/buns,softener,vinegar,white bread,,
ham,whole milk,pastry,herbs,herbs,newspapers,chewing gum,whole milk,,,
whole milk,whole milk,,,,,,,,,
cocoa drinks,bottled water,sweet spreads,,,,,,,,
turkey,soft cheese,other vegetables,canned beer,,,,,,,
whole milk,beef,tropical fruit,tropical fruit,whole milk,domestic eggs,coffee,other vegetables,,,
frankfurter,sliced cheese,,,,,,,,,
soda,soda,,,,,,,,,
pip fruit,tropical fruit,rolls/buns,pip fruit,rolls/buns,,,,,,
curd cheese,sausage,bottled water,napkins,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
yogurt,citrus fruit,,,,,,,,,
frozen meals,pasta,curd,,,,,,,,
butter,fruit/vegetable juice,,,,,,,,,
yogurt,whole milk,,,,,,,,,
specialty chocolate,long life bakery product,,,,,,,,,
frozen meals,cream cheese ,,,,,,,,,
sausage,soda,,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
bottled water,salty snack,,,,,,,,,
whole milk,yogurt,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
rolls/buns,sauces,,,,,,,,,
sausage,grapes,sliced cheese,napkins,,,,,,,
yogurt,pork,UHT-milk,specialty bar,,,,,,,
pork,brown bread,,,,,,,,,
onions,long life bakery product,,,,,,,,,
female sanitary products,domestic eggs,,,,,,,,,
condensed milk,frankfurter,berries,whole milk,liver loaf,sliced cheese,domestic eggs,rolls/buns,frozen fish,,
bottled water,beverages,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
chewing gum,citrus fruit,,,,,,,,,
rolls/buns,grapes,domestic eggs,,,,,,,,
soda,soda,,,,,,,,,
napkins,whipped/sour cream,,,,,,,,,
chicken,domestic eggs,,,,,,,,,
whole milk,newspapers,bottled water,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
rolls/buns,candy,,,,,,,,,
pork,processed cheese,beef,white wine,soda,packaged fruit/vegetables,sliced cheese,beverages,,,
chocolate marshmallow,other vegetables,,,,,,,,,
dessert,brown bread,,,,,,,,,
sausage,bottled beer,whole milk,frozen vegetables,,,,,,,
dessert,butter,,,,,,,,,
other vegetables,rolls/buns,whole milk,margarine,,,,,,,
rolls/buns,white bread,,,,,,,,,
pip fruit,canned beer,hygiene articles,coffee,,,,,,,
beef,root vegetables,,,,,,,,,
sausage,root vegetables,,,,,,,,,
domestic eggs,curd cheese,,,,,,,,,
whole milk,detergent,,,,,,,,,
onions,curd,,,,,,,,,
dish cleaner,shopping bags,,,,,,,,,
newspapers,zwieback,,,,,,,,,
yogurt,whole milk,pickled vegetables,long life bakery product,mustard,,,,,,
chicken,yogurt,,,,,,,,,
yogurt,whole milk,,,,,,,,,
white bread,UHT-milk,,,,,,,,,
liquor,cream cheese ,rolls/buns,,,,,,,,
bottled water,cooking chocolate,,,,,,,,,
other vegetables,tropical fruit,pastry,citrus fruit,curd,soda,whole milk,detergent,syrup,,
chocolate,frankfurter,yogurt,margarine,canned vegetables,,,,,,
misc. beverages,other vegetables,specialty chocolate,,,,,,,,
rolls/buns,soda,,,,,,,,,
bottled beer,napkins,whole milk,,,,,,,,
canned beer,pastry,,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
rolls/buns,white bread,,,,,,,,,
tropical fruit,specialty bar,,,,,,,,,
soda,yogurt,,,,,,,,,
soda,soda,canned beer,frozen dessert,tropical fruit,whole milk,bottled water,specialty bar,domestic eggs,,
other vegetables,fruit/vegetable juice,white bread,,,,,,,,
canned beer,bottled beer,,,,,,,,,
root vegetables,hygiene articles,newspapers,,,,,,,,
rolls/buns,sausage,whole milk,pastry,yogurt,dessert,curd,yogurt,,,
sausage,soda,,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
pork,bottled water,,,,,,,,,
frankfurter,pip fruit,whipped/sour cream,,,,,,,,
yogurt,fruit/vegetable juice,,,,,,,,,
other vegetables,salty snack,,,,,,,,,
canned beer,dental care,,,,,,,,,
coffee,pip fruit,,,,,,,,,
chicken,tropical fruit,salt,,,,,,,,
white wine,whole milk,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
tropical fruit,newspapers,beef,tropical fruit,domestic eggs,detergent,frozen vegetables,grapes,processed cheese,,
frankfurter,bottled beer,,,,,,,,,
hamburger meat,margarine,,,,,,,,,
ice cream,candy,canned beer,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
brown bread,pasta,,,,,,,,,
brown bread,rolls/buns,sliced cheese,,,,,,,,
other vegetables,butter,,,,,,,,,
other vegetables,soda,root vegetables,flower soil/fertilizer,meat,shopping bags,soda,processed cheese,,,
tropical fruit,canned beer,pastry,,,,,,,,
tropical fruit,brown bread,whole milk,,,,,,,,
packaged fruit/vegetables,frozen fish,,,,,,,,,
frankfurter,margarine,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
dessert,butter,,,,,,,,,
whole milk,frozen vegetables,newspapers,,,,,,,,
sausage,canned vegetables,,,,,,,,,
finished products,domestic eggs,,,,,,,,,
butter,frozen vegetables,,,,,,,,,
pastry,shopping bags,,,,,,,,,
dessert,whole milk,,,,,,,,,
frozen meals,napkins,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
frozen meals,bottled beer,,,,,,,,,
frozen vegetables,curd,rolls/buns,,,,,,,,
pork,specialty bar,long life bakery product,,,,,,,,
whole milk,specialty bar,,,,,,,,,
